fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240503 211751	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	985	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0411832879628885	0.500658494127846	1270	464	11599	60266568.2158921	24
20240503 212240	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1058	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0100835585189873	0.500188077496578	1038	155	11536	61775868.065967	25
20240503 212737	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1001	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0100432387387544	0.505037476835614	1030	130	12267	60750724.137931	26
20240503 213011	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	270	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0236919550493795	0.500245707594562	1065	100	12227	61589044.9775112	27
20240503 213248	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	270	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0236919550493795	0.500245707594562	1065	100	12227	61589044.9775112	28
20240503 213523	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	270	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0236919550493795	0.500245707594562	1065	100	12227	61589044.9775112	29
20240503 213606	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	187	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.141648197677865	0.607224878284236	866	1447	10044	59825301.3493253	30
20240503 213700	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	326	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.125696398849311	0.829886604300983	876	1317	10505	60653395.802099	31
20240503 213748	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	216	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.302841529130123	0.873283833128176	611	972	11396	57945193.4032983	32
20240503 214314	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	925	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0100990047283343	0.568377409719779	1109	101	12753	61221359.82009	33
20240503 214727	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	747	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.024949445399756	0.538687555999677	1032	100	12123	59922934.0329835	34
20240503 214905	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	674	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.233214569415264	0.597322116792249	1597	579	12426	59515223.3883059	35
